anchor,positive,negative
"Ngành Kỹ thuật Xây dựng học những môn gì trong Học Kỳ Thứ 8?","Trong Học Kỳ Thứ 8, ngành Kỹ thuật Xây dựng học An toàn và bảo vệ môi trường trong xây dựng công trình ngầm, Nguyên lý thiết kế xây dựng công trình ngầm, Xây dựng công trình ngầm trong các điều kiện đặc biệt, Đồ án kỹ thuật thi công, Đồ án tổ chức và quản lý thi công, Kỹ thuật thi công 2, Tổ chức và quản lý thi công, Đồ án thi công Công trình cầu, Thi công công trình cầu, Đồ án thiết kế và thi công công trình hạ tầng đô thị, Thiết kế và thi công công trình hạ tầng đô thị.","Trong Học Kỳ Thứ 8, ngành Kỹ thuật Xây dựng học các môn về thi công công trình cầu, hạ tầng đô thị và công trình ngầm."
"Ngành Kỹ thuật Xây dựng học những môn gì trong Học Kỳ Thứ 9?","Trong Học Kỳ Thứ 9, ngành Kỹ thuật Xây dựng học Đồ án tốt nghiệp, Thực tập doanh nghiệp.","Trong Học Kỳ Thứ 9, ngành Kỹ thuật Xây dựng học các môn về đồ án tốt nghiệp và thực tập doanh nghiệp."
"Ngành Kỹ thuật Xây dựng có học môn Phương pháp tính không?","Ngành Kỹ thuật Xây dựng học môn Phương pháp tính trong Học Kỳ Thứ 1.","Ngành Kỹ thuật Xây dựng không học môn Phương pháp tính."
"Ngành Kỹ thuật Xây dựng có học môn AutoCAD xây dựng không?","Ngành Kỹ thuật Xây dựng học môn AutoCAD xây dựng trong Học Kỳ Thứ 3.","Ngành Kỹ thuật Xây dựng không học môn AutoCAD xây dựng."
"Ngành Kỹ thuật Xây dựng có học môn Cơ học kết cấu không?","Ngành Kỹ thuật Xây dựng học môn Cơ học kết cấu + BTL trong Học Kỳ Thứ 4.","Ngành Kỹ thuật Xây dựng không học môn Cơ học kết cấu."
"Ngành Kỹ thuật Xây dựng có học môn Địa chất công trình không?","Ngành Kỹ thuật Xây dựng học môn Địa chất công trình trong Học Kỳ Thứ 4.","Ngành Kỹ thuật Xây dựng không học môn Địa chất công trình."
"Ngành Kỹ thuật Xây dựng có học môn Trắc địa công trình không?","Ngành Kỹ thuật Xây dựng học môn Trắc địa công trình + BTL trong Học Kỳ Thứ 5.","Ngành Kỹ thuật Xây dựng không học môn Trắc địa công trình."
"Ngành Kỹ thuật Xây dựng có học môn Đồ án kết cấu bê tông cốt thép không?","Ngành Kỹ thuật Xây dựng học môn Đồ án kết cấu bê tông cốt thép trong Học Kỳ Thứ 5.","Ngành Kỹ thuật Xây dựng không học môn Đồ án kết cấu bê tông cốt thép."
"Ngành Kỹ thuật Xây dựng có học môn Kết cấu thép không?","Ngành Kỹ thuật Xây dựng học môn Kết cấu thép trong Học Kỳ Thứ 6.","Ngành Kỹ thuật Xây dựng không học môn Kết cấu thép."
"Ngành Kỹ thuật Xây dựng có học môn Thiết kế công trình cầu không?","Ngành Kỹ thuật Xây dựng học môn Thiết kế công trình cầu trong Học Kỳ Thứ 7.","Ngành Kỹ thuật Xây dựng không học môn Thiết kế công trình cầu."
"Ngành Kỹ thuật Xây dựng có học môn An toàn và bảo vệ môi trường trong xây dựng công trình ngầm không?","Ngành Kỹ thuật Xây dựng học môn An toàn và bảo vệ môi trường trong xây dựng công trình ngầm trong Học Kỳ Thứ 8.","Ngành Kỹ thuật Xây dựng không học môn An toàn và bảo vệ môi trường trong xây dựng công trình ngầm."
"Ngành Kỹ thuật Xây dựng có học môn Đồ án thiết kế công trình hạ tầng đô thị không?","Ngành Kỹ thuật Xây dựng học môn Đồ án thiết kế và thi công công trình hạ tầng đô thị trong Học Kỳ Thứ 8.","Ngành Kỹ thuật Xây dựng không học môn Đồ án thiết kế công trình hạ tầng đô thị."
"Ngành Kỹ thuật Xây dựng có học môn Lịch sử Đảng Cộng sản Việt Nam không?","Ngành Kỹ thuật Xây dựng học môn Lịch sử Đảng Cộng sản Việt Nam trong Học Kỳ Thứ 6.","Ngành Kỹ thuật Xây dựng không học môn Lịch sử Đảng Cộng sản Việt Nam."
"Ngành Kỹ thuật Xây dựng có học môn Thiết kế và thi công công trình hạ tầng đô thị không?","Ngành Kỹ thuật Xây dựng học môn Thiết kế và thi công công trình hạ tầng đô thị trong Học Kỳ Thứ 8.","Ngành Kỹ thuật Xây dựng không học môn Thiết kế và thi công công trình hạ tầng đô thị."
"Ngành Khoa học Dữ liệu học những môn gì trong Học Kỳ Thứ 1?","Trong Học Kỳ Thứ 1, ngành Khoa học Dữ liệu học Giải tích 1, Tiếng Anh 1, Giáo dục thể chất 1, Triết học Mác - Lênin, Ngôn ngữ lập trình Python, Nhập môn ngành Khoa học dữ liệu, Kiến trúc máy tính.","Trong Học Kỳ Thứ 1, ngành Khoa học Dữ liệu học các môn về toán học, lập trình Python và kiến trúc máy tính."
"Ngành Khoa học Dữ liệu học những môn gì trong Học Kỳ Thứ 2?","Trong Học Kỳ Thứ 2, ngành Khoa học Dữ liệu học Tiếng Anh 2, Giáo dục thể chất 2, Kinh tế chính trị Mác - Lênin, Cơ sở dữ liệu, Lập trình Python 2, Tiếng Anh ngành khoa học dữ liệu, Logic đại cương.","Trong Học Kỳ Thứ 2, ngành Khoa học Dữ liệu học các môn về cơ sở dữ liệu, lập trình Python và Logic đại cương."
"Ngành Khoa học Dữ liệu học những môn gì trong Học Kỳ Thứ 3?","Trong Học Kỳ Thứ 3, ngành Khoa học Dữ liệu học Giải tích 2, Giáo dục thể chất 3, Chủ nghĩa xã hội khoa học, Cấu trúc dữ liệu và giải thuật, Tin học đại cương + TH (khối kỹ thuật), Dữ liệu thông tin không gian.","Trong Học Kỳ Thứ 3, ngành Khoa học Dữ liệu học các môn về giải tích, cấu trúc dữ liệu và dữ liệu thông tin không gian."
"Ngành Khoa học Dữ liệu học những môn gì trong Học Kỳ Thứ 4?","Trong Học Kỳ Thứ 4, ngành Khoa học Dữ liệu học Đại số tuyến tính, Tư tưởng Hồ Chí Minh, Nguyên lý Hệ điều hành, Toán rời rạc cho CNTT, Trực quan hóa dữ liệu.","Trong Học Kỳ Thứ 4, ngành Khoa học Dữ liệu học các môn về đại số tuyến tính, hệ điều hành và trực quan hóa dữ liệu."
"Ngành Khoa học Dữ liệu học những môn gì trong Học Kỳ Thứ 5?","Trong Học Kỳ Thứ 5, ngành Khoa học Dữ liệu học Xác suất thống kê, Trí tuệ nhân tạo + BTL, Đồ án 1, Tối ưu hóa thuật toán, Mạng máy tính + BTL.","Trong Học Kỳ Thứ 5, ngành Khoa học Dữ liệu học các môn về xác suất thống kê, trí tuệ nhân tạo và tối ưu hóa thuật toán."
"Ngành Khoa học Dữ liệu học những môn gì trong Học Kỳ Thứ 6?","Trong Học Kỳ Thứ 6, ngành Khoa học Dữ liệu học Lịch sử Đảng Cộng sản Việt Nam, Hệ thống tin địa lý, Kỹ nghệ tri thức và học máy, Phân tích và thiết kế hướng đối tượng.","Trong Học Kỳ Thứ 6, ngành Khoa học Dữ liệu học các môn về hệ thống tin địa lý, học máy và phân tích thiết kế hướng đối tượng."
"Ngành Khoa học Dữ liệu học những môn gì trong Học Kỳ Thứ 7?","Trong Học Kỳ Thứ 7, ngành Khoa học Dữ liệu học Phát triển ứng dụng di động đa nền tảng 1, Nhập môn mô hình cơ sở hạ tầng dữ liệu địa không gian, Đồ án 2 - KHDL, Dữ liệu lớn và ứng dụng, Khai phá dữ liệu.","Trong Học Kỳ Thứ 7, ngành Khoa học Dữ liệu học các môn về dữ liệu lớn, khai phá dữ liệu và phát triển ứng dụng di động."
"Ngành Khoa học Dữ liệu học những môn gì trong Học Kỳ Thứ 8?","Trong Học Kỳ Thứ 8, ngành Khoa học Dữ liệu học Những nguyên lý cơ bản của chủ nghĩa Mác-Lênin 2, Thị giác máy tính.","Trong Học Kỳ Thứ 8, ngành Khoa học Dữ liệu học môn về thị giác máy tính và chủ nghĩa Mác-Lênin."
"Ngành Khoa học Dữ liệu học những môn gì trong Học Kỳ Thứ 9?","Trong Học Kỳ Thứ 9, ngành Khoa học Dữ liệu học Đồ án tốt nghiệp, Thực tập tốt nghiệp.","Trong Học Kỳ Thứ 9, ngành Khoa học Dữ liệu học đồ án tốt nghiệp và thực tập tốt nghiệp."
"Ngành Khoa học Dữ liệu có học môn Ngôn ngữ lập trình Python không?","Ngành Khoa học Dữ liệu học môn Ngôn ngữ lập trình Python trong Học Kỳ Thứ 1 và Học Kỳ Thứ 2.","Ngành Khoa học Dữ liệu không học môn Ngôn ngữ lập trình Python."
"Ngành Khoa học Dữ liệu có học môn Logic đại cương không?","Ngành Khoa học Dữ liệu học môn Logic đại cương trong Học Kỳ Thứ 2.","Ngành Khoa học Dữ liệu không học môn Logic đại cương."
"Ngành Khoa học Dữ liệu có học môn Trí tuệ nhân tạo không?","Ngành Khoa học Dữ liệu học môn Trí tuệ nhân tạo + BTL trong Học Kỳ Thứ 5.","Ngành Khoa học Dữ liệu không học môn Trí tuệ nhân tạo."
"Ngành Khoa học Dữ liệu có học môn Cấu trúc dữ liệu và giải thuật không?","Ngành Khoa học Dữ liệu học môn Cấu trúc dữ liệu và giải thuật trong Học Kỳ Thứ 3.","Ngành Khoa học Dữ liệu không học môn Cấu trúc dữ liệu và giải thuật."
"Ngành Khoa học Dữ liệu có học môn Phát triển ứng dụng di động đa nền tảng không?","Ngành Khoa học Dữ liệu học môn Phát triển ứng dụng di động đa nền tảng 1 trong Học Kỳ Thứ 7.","Ngành Khoa học Dữ liệu không học môn Phát triển ứng dụng di động đa nền tảng."
"Ngành Khoa học Dữ liệu có học môn Hệ điều hành không?","Ngành Khoa học Dữ liệu học môn Nguyên lý Hệ điều hành trong Học Kỳ Thứ 4.","Ngành Khoa học Dữ liệu không học môn Hệ điều hành."
"Ngành Khoa học Dữ liệu có học môn Dữ liệu lớn và ứng dụng không?","Ngành Khoa học Dữ liệu học môn Dữ liệu lớn và ứng dụng trong Học Kỳ Thứ 7.","Ngành Khoa học Dữ liệu không học môn Dữ liệu lớn và ứng dụng."
"Ngành Khoa học Dữ liệu có học môn Thị giác máy tính không?","Ngành Khoa học Dữ liệu học môn Thị giác máy tính trong Học Kỳ Thứ 8.","Ngành Khoa học Dữ liệu không học môn Thị giác máy tính."
"Ngành Khoa học Dữ liệu có học môn Trực quan hóa dữ liệu không?","Ngành Khoa học Dữ liệu học môn Trực quan hóa dữ liệu trong Học Kỳ Thứ 4.","Ngành Khoa học Dữ liệu không học môn Trực quan hóa dữ liệu."
"Ngành Khoa học Dữ liệu có học môn Tối ưu hóa thuật toán không?","Ngành Khoa học Dữ liệu học môn Tối ưu hóa thuật toán trong Học Kỳ Thứ 5.","Ngành Khoa học Dữ liệu không học môn Tối ưu hóa thuật toán."
"Ngành Khoa học Dữ liệu có học môn Mạng máy tính không?","Ngành Khoa học Dữ liệu học môn Mạng máy tính + BTL trong Học Kỳ Thứ 5.","Ngành Khoa học Dữ liệu không học môn Mạng máy tính."
"Ngành Khoa học Dữ liệu có học môn Phân tích và thiết kế hướng đối tượng không?","Ngành Khoa học Dữ liệu học môn Phân tích và thiết kế hướng đối tượng trong Học Kỳ Thứ 6.","Ngành Khoa học Dữ liệu không học môn Phân tích và thiết kế hướng đối tượng."
"Ngành Khoa học Dữ liệu có học môn Đồ án tốt nghiệp không?","Ngành Khoa học Dữ liệu học môn Đồ án tốt nghiệp trong Học Kỳ Thứ 9.","Ngành Khoa học Dữ liệu không học môn Đồ án tốt nghiệp."
"Ngành Khoa học Dữ liệu có học môn Lập trình Python 2 không?","Ngành Khoa học Dữ liệu học môn Lập trình Python 2 trong Học Kỳ Thứ 2.","Ngành Khoa học Dữ liệu không học môn Lập trình Python 2."
"Ngành Khoa học Dữ liệu có học môn Kỹ nghệ tri thức và học máy không?","Ngành Khoa học Dữ liệu học môn Kỹ nghệ tri thức và học máy trong Học Kỳ Thứ 6.","Ngành Khoa học Dữ liệu không học môn Kỹ nghệ tri thức và học máy."
"Ngành Quản lý đất đai học những môn gì trong Học Kỳ Thứ 1?","Trong Học Kỳ Thứ 1, ngành Quản lý đất đai học Toán cao cấp 1, Tiếng Anh 1, Giáo dục thể chất 1, Pháp luật đại cương, Triết học Mác - Lênin, Chủ nghĩa xã hội khoa học, Tin học đại cương + TH (khối kinh tế).","Trong Học Kỳ Thứ 1, ngành Quản lý đất đai học các môn toán cao cấp, tiếng Anh, triết học và pháp luật."
"Ngành Quản lý đất đai học những môn gì trong Học Kỳ Thứ 2?","Trong Học Kỳ Thứ 2, ngành Quản lý đất đai học Xác suất thống kê, Tiếng Anh 2, Giáo dục thể chất 2, Kinh tế chính trị Mác - Lênin, Trắc địa cơ sở 1 + BTL, Đường lối quân sự của Đảng.","Trong Học Kỳ Thứ 2, ngành Quản lý đất đai học các môn về xác suất thống kê, trắc địa cơ sở và kinh tế chính trị."
"Ngành Quản lý đất đai học những môn gì trong Học Kỳ Thứ 3?","Trong Học Kỳ Thứ 3, ngành Quản lý đất đai học Giáo dục thể chất 3, Địa chính, Hệ thống chính sách đất đai, Quy hoạch tổng thể phát triển kinh tế xã hội + BTL, Kinh tế vi mô, Công tác quốc phòng và an ninh.","Trong Học Kỳ Thứ 3, ngành Quản lý đất đai học các môn về địa chính, quy hoạch và kinh tế vi mô."
"Ngành Quản lý đất đai học những môn gì trong Học Kỳ Thứ 4?","Trong Học Kỳ Thứ 4, ngành Quản lý đất đai học Cơ sở đo ảnh và viễn thám, Biên tập bản đồ số, Thị trường bất động sản, Thổ nhưỡng, Đàn kỹ thuật 2: Đo đạc địa chính.","Trong Học Kỳ Thứ 4, ngành Quản lý đất đai học các môn về đo ảnh, viễn thám và thị trường bất động sản."
"Ngành Quản lý đất đai học những môn gì trong Học Kỳ Thứ 5?","Trong Học Kỳ Thứ 5, ngành Quản lý đất đai học Tư tưởng Hồ Chí Minh, Các phương pháp TD - BD trong quan trắc TN&MT, Đánh giá đất, Định giá bất động sản + BTL, Hệ thống thông tin đất đai 1, Thực tập đo đạc địa chính 1 (4 tuần), Quản lý nhà nước về đất đai.","Trong Học Kỳ Thứ 5, ngành Quản lý đất đai học các môn về đánh giá đất, định giá bất động sản và hệ thống thông tin đất đai."
"Ngành Quản lý đất đai học những môn gì trong Học Kỳ Thứ 6?","Trong Học Kỳ Thứ 6, ngành Quản lý đất đai học Quy hoạch sử dụng đất, Kỹ thuật bắn súng tiểu liên AK và chiến thuật, Đăng ký thống kê đất, Xây dựng cơ sở dữ liệu địa chính.","Trong Học Kỳ Thứ 6, ngành Quản lý đất đai học các môn về quy hoạch sử dụng đất và xây dựng cơ sở dữ liệu địa chính."
"Ngành Quản lý đất đai học những môn gì trong Học Kỳ Thứ 7?","Trong Học Kỳ Thứ 7, ngành Quản lý đất đai học Lịch sử Đảng Cộng sản Việt Nam, Thanh tra đất đai, Thực tập xây dựng cơ sở dữ liệu đất đai, Đồ án Quy hoạch sử dụng đất.","Trong Học Kỳ Thứ 7, ngành Quản lý đất đai học các môn về thanh tra đất đai, thực tập cơ sở dữ liệu đất đai và đồ án quy hoạch sử dụng đất."
"Ngành Quản lý đất đai học những môn gì trong Học Kỳ Thứ 8?","Trong Học Kỳ Thứ 8, ngành Quản lý đất đai học Thực tập tốt nghiệp, Đồ án tốt nghiệp.","Trong Học Kỳ Thứ 8, ngành Quản lý đất đai học môn thực tập tốt nghiệp và đồ án tốt nghiệp."
"Ngành Quản lý đất đai có học môn Địa chính không?","Ngành Quản lý đất đai học môn Địa chính trong Học Kỳ Thứ 3.","Ngành Quản lý đất đai không học môn Địa chính."
"Ngành Quản lý đất đai có học môn Hệ thống chính sách đất đai không?","Ngành Quản lý đất đai học môn Hệ thống chính sách đất đai trong Học Kỳ Thứ 3.","Ngành Quản lý đất đai không học môn Hệ thống chính sách đất đai."
"Ngành Quản lý đất đai có học môn Thị trường bất động sản không?","Ngành Quản lý đất đai học môn Thị trường bất động sản trong Học Kỳ Thứ 4.","Ngành Quản lý đất đai không học môn Thị trường bất động sản."
"Ngành Quản lý đất đai có học môn Thổ nhưỡng không?","Ngành Quản lý đất đai học môn Thổ nhưỡng trong Học Kỳ Thứ 4.","Ngành Quản lý đất đai không học môn Thổ nhưỡng."
"Ngành Quản lý đất đai có học môn Đánh giá đất không?","Ngành Quản lý đất đai học môn Đánh giá đất trong Học Kỳ Thứ 5.","Ngành Quản lý đất đai không học môn Đánh giá đất."
"Ngành Quản lý đất đai có học môn Định giá bất động sản không?","Ngành Quản lý đất đai học môn Định giá bất động sản trong Học Kỳ Thứ 5.","Ngành Quản lý đất đai không học môn Định giá bất động sản."
"Ngành Quản lý đất đai có học môn Hệ thống thông tin đất đai không?","Ngành Quản lý đất đai học môn Hệ thống thông tin đất đai 1 trong Học Kỳ Thứ 5.","Ngành Quản lý đất đai không học môn Hệ thống thông tin đất đai."
"Ngành Quản lý đất đai có học môn Quy hoạch sử dụng đất không?","Ngành Quản lý đất đai học môn Quy hoạch sử dụng đất trong Học Kỳ Thứ 6.","Ngành Quản lý đất đai không học môn Quy hoạch sử dụng đất."
"Ngành Quản lý đất đai có học môn Đăng ký thống kê đất không?","Ngành Quản lý đất đai học môn Đăng ký thống kê đất trong Học Kỳ Thứ 6.","Ngành Quản lý đất đai không học môn Đăng ký thống kê đất."
"Ngành Quản lý đất đai có học môn Thanh tra đất đai không?","Ngành Quản lý đất đai học môn Thanh tra đất đai trong Học Kỳ Thứ 7.","Ngành Quản lý đất đai không học môn Thanh tra đất đai."
"Ngành Quản lý đất đai có học môn Thực tập xây dựng cơ sở dữ liệu đất đai không?","Ngành Quản lý đất đai học môn Thực tập xây dựng cơ sở dữ liệu đất đai trong Học Kỳ Thứ 7.","Ngành Quản lý đất đai không học môn Thực tập xây dựng cơ sở dữ liệu đất đai."
"Ngành Quản lý đất đai có học môn Quản lý nhà nước về đất đai không?","Ngành Quản lý đất đai học môn Quản lý nhà nước về đất đai trong Học Kỳ Thứ 5.","Ngành Quản lý đất đai không học môn Quản lý nhà nước về đất đai."
"Ngành Quản lý đất đai có học môn Thực tập tốt nghiệp không?","Ngành Quản lý đất đai học môn Thực tập tốt nghiệp trong Học Kỳ Thứ 8.","Ngành Quản lý đất đai không học môn Thực tập tốt nghiệp."
"Ngành Quản lý đất đai có học môn Đồ án Quy hoạch sử dụng đất không?","Ngành Quản lý đất đai học môn Đồ án Quy hoạch sử dụng đất trong Học Kỳ Thứ 7.","Ngành Quản lý đất đai không học môn Đồ án Quy hoạch sử dụng đất."
"Ngành Quản lý đất đai có học môn Cơ sở đo ảnh và viễn thám không?","Ngành Quản lý đất đai học môn Cơ sở đo ảnh và viễn thám trong Học Kỳ Thứ 4.","Ngành Quản lý đất đai không học môn Cơ sở đo ảnh và viễn thám."
"Ngành Quản lý đất đai có học môn Biên tập bản đồ số không?","Ngành Quản lý đất đai học môn Biên tập bản đồ số trong Học Kỳ Thứ 4.","Ngành Quản lý đất đai không học môn Biên tập bản đồ số."
"Ngành Quản lý đất đai có học môn Đàn kỹ thuật 2: Đo đạc địa chính không?","Ngành Quản lý đất đai học môn Đàn kỹ thuật 2: Đo đạc địa chính trong Học Kỳ Thứ 4.","Ngành Quản lý đất đai không học môn Đàn kỹ thuật 2: Đo đạc địa chính."
"Ngành Địa chất học học những môn gì trong Học Kỳ Thứ 1?","Trong Học Kỳ Thứ 1, ngành Địa chất học học Giải tích 1, Hóa học đại cương phần 1 + TN, Tiếng Anh 1, Giáo dục thể chất 1, Pháp luật đại cương, Triết học Mác - Lênin.","Trong Học Kỳ Thứ 1, ngành Địa chất học học các môn giải tích, hóa học, tiếng Anh và triết học."
"Ngành Địa chất học học những môn gì trong Học Kỳ Thứ 2?","Trong Học Kỳ Thứ 2, ngành Địa chất học học Đại số tuyến tính, Giải tích 2, Vật lý đại cương 1, Tiếng Anh 2, Giáo dục thể chất 2, Kinh tế chính trị Mác - Lênin.","Trong Học Kỳ Thứ 2, ngành Địa chất học học các môn đại số tuyến tính, vật lý, kinh tế chính trị."
"Ngành Địa chất học học những môn gì trong Học Kỳ Thứ 3?","Trong Học Kỳ Thứ 3, ngành Địa chất học học Cân bằng pha và hóa keo + TN, Giáo dục thể chất 3, Chủ nghĩa xã hội khoa học, Địa chất đại cương + TH, Nhập môn Ngành Địa chất học, Thực tập Địa chất Đại cương, Tin học đại cương + TH (khối kỹ thuật).","Trong Học Kỳ Thứ 3, ngành Địa chất học học các môn về địa chất đại cương, tin học và thực tập."
"Ngành Địa chất học học những môn gì trong Học Kỳ Thứ 4?","Trong Học Kỳ Thứ 4, ngành Địa chất học học Địa chất biển Đại cương, Địa mạo đại cương và trầm tích Đệ tứ, Thạch học magma và biến chất + TT, Tinh thể khoáng vật + TN, Địa vật lý đại cương +TH, Tư tưởng Hồ Chí Minh, Giáo dục quốc phòng - an ninh.","Trong Học Kỳ Thứ 4, ngành Địa chất học học các môn về địa chất biển, thạch học và địa vật lý."
"Ngành Địa chất học học những môn gì trong Học Kỳ Thứ 5?","Trong Học Kỳ Thứ 5, ngành Địa chất học học Cổ sinh - Địa sử + TT, Thạch học trầm tích, Cơ sở Địa chất thủy văn - Địa chất công trình, Đường lối quân sự của Đảng.","Trong Học Kỳ Thứ 5, ngành Địa chất học học các môn về cổ sinh, thạch học trầm tích và địa chất công trình."
"Ngành Địa chất học học những môn gì trong Học Kỳ Thứ 6?","Trong Học Kỳ Thứ 6, ngành Địa chất học học Địa chất cấu tạo và đo vẽ bản đồ địa chất, Ứng dụng viễn thám trong Địa chất + TH, Địa hóa, Quân sự chung và chiến thuật, Thạch luận đá magma và biến chất.","Trong Học Kỳ Thứ 6, ngành Địa chất học học các môn về địa chất cấu tạo, viễn thám và địa hóa."
"Ngành Địa chất học học những môn gì trong Học Kỳ Thứ 7?","Trong Học Kỳ Thứ 7, ngành Địa chất học học Tư tưởng Hồ Chí Minh, Kiến tạo Mảng, Thực tập địa chất cấu tạo và đo vẽ bản đồ địa chất, Địa chất Môi trường, Trầm tích luận, Ứng dụng địa chất cấu tạo trong nghiên cứu tai biến địa chất.","Trong Học Kỳ Thứ 7, ngành Địa chất học học các môn về kiến tạo mảng, trầm tích luận và địa chất môi trường."
"Ngành Địa chất học học những môn gì trong Học Kỳ Thứ 8?","Trong Học Kỳ Thứ 8, ngành Địa chất học học Lịch sử Đảng Cộng sản Việt Nam, Địa chất Việt Nam, Tài nguyên Địa chất, Địa chất du lịch, Ứng dụng địa chất cấu tạo trong nghiên cứu tai biến địa chất, Địa chất Môi trường.","Trong Học Kỳ Thứ 8, ngành Địa chất học học các môn về địa chất Việt Nam, tài nguyên địa chất và địa chất du lịch."
"Ngành Địa chất học học những môn gì trong Học Kỳ Thứ 9?","Trong Học Kỳ Thứ 9, ngành Địa chất học học Đồ án tốt nghiệp, Thực tập doanh nghiệp.","Trong Học Kỳ Thứ 9, ngành Địa chất học học môn đồ án tốt nghiệp và thực tập doanh nghiệp."
"Ngành Địa chất học có học môn Địa chất đại cương không?","Ngành Địa chất học học môn Địa chất đại cương trong Học Kỳ Thứ 3.","Ngành Địa chất học không học môn Địa chất đại cương."
"Ngành Địa chất học có học môn Địa mạo đại cương và trầm tích Đệ tứ không?","Ngành Địa chất học học môn Địa mạo đại cương và trầm tích Đệ tứ trong Học Kỳ Thứ 4.","Ngành Địa chất học không học môn Địa mạo đại cương và trầm tích Đệ tứ."
"Ngành Địa chất học có học môn Thạch học magma và biến chất không?","Ngành Địa chất học học môn Thạch học magma và biến chất trong Học Kỳ Thứ 4.","Ngành Địa chất học không học môn Thạch học magma và biến chất."
"Ngành Địa chất học có học môn Địa vật lý đại cương không?","Ngành Địa chất học học môn Địa vật lý đại cương trong Học Kỳ Thứ 4.","Ngành Địa chất học không học môn Địa vật lý đại cương."
"Ngành Địa chất học có học môn Cổ sinh - Địa sử không?","Ngành Địa chất học học môn Cổ sinh - Địa sử trong Học Kỳ Thứ 5.","Ngành Địa chất học không học môn Cổ sinh - Địa sử."
"Ngành Địa chất học có học môn Thạch học trầm tích không?","Ngành Địa chất học học môn Thạch học trầm tích trong Học Kỳ Thứ 5.","Ngành Địa chất học không học môn Thạch học trầm tích."
"Ngành Địa chất học có học môn Địa chất thủy văn - Địa chất công trình không?","Ngành Địa chất học học môn Địa chất thủy văn - Địa chất công trình trong Học Kỳ Thứ 5.","Ngành Địa chất học không học môn Địa chất thủy văn - Địa chất công trình."
"Ngành Địa chất học có học môn Địa chất cấu tạo và đo vẽ bản đồ địa chất không?","Ngành Địa chất học học môn Địa chất cấu tạo và đo vẽ bản đồ địa chất trong Học Kỳ Thứ 6.","Ngành Địa chất học không học môn Địa chất cấu tạo và đo vẽ bản đồ địa chất."
"Ngành Địa chất học có học môn Ứng dụng viễn thám trong Địa chất không?","Ngành Địa chất học học môn Ứng dụng viễn thám trong Địa chất trong Học Kỳ Thứ 6.","Ngành Địa chất học không học môn Ứng dụng viễn thám trong Địa chất."
"Ngành Địa chất học có học môn Địa hóa không?","Ngành Địa chất học học môn Địa hóa trong Học Kỳ Thứ 6.","Ngành Địa chất học không học môn Địa hóa."
"Ngành Địa chất học có học môn Kiến tạo Mảng không?","Ngành Địa chất học học môn Kiến tạo Mảng trong Học Kỳ Thứ 7.","Ngành Địa chất học không học môn Kiến tạo Mảng."
"Ngành Địa chất học có học môn Địa chất Môi trường không?","Ngành Địa chất học học môn Địa chất Môi trường trong Học Kỳ Thứ 7 và Học Kỳ Thứ 8.","Ngành Địa chất học không học môn Địa chất Môi trường."
"Ngành Địa chất học có học môn Trầm tích luận không?","Ngành Địa chất học học môn Trầm tích luận trong Học Kỳ Thứ 7.","Ngành Địa chất học không học môn Trầm tích luận."
"Ngành Địa chất học có học môn Địa chất du lịch không?","Ngành Địa chất học học môn Địa chất du lịch trong Học Kỳ Thứ 8.","Ngành Địa chất học không học môn Địa chất du lịch."
"Ngành Địa chất học có học môn Tài nguyên Địa chất không?","Ngành Địa chất học học môn Tài nguyên Địa chất trong Học Kỳ Thứ 8.","Ngành Địa chất học không học môn Tài nguyên Địa chất."
"Ngành Địa chất học có học môn Địa chất Việt Nam không?","Ngành Địa chất học học môn Địa chất Việt Nam trong Học Kỳ Thứ 8.","Ngành Địa chất học không học môn Địa chất Việt Nam."
"Ngành Địa chất học có học môn Đồ án tốt nghiệp không?","Ngành Địa chất học học môn Đồ án tốt nghiệp trong Học Kỳ Thứ 9.","Ngành Địa chất học không học môn Đồ án tốt nghiệp."
"Ngành Địa chất học có học môn Thực tập doanh nghiệp không?","Ngành Địa chất học học môn Thực tập doanh nghiệp trong Học Kỳ Thứ 9.","Ngành Địa chất học không học môn Thực tập doanh nghiệp."
"Ngành Kỹ thuật Hóa học học những môn gì trong Học Kỳ Thứ 1 năm Nhất?","Trong Học Kỳ Thứ 1 năm Nhất, ngành Kỹ thuật Hóa học học Chương trình Bồi dưỡng nâng cao tiếng Anh.","Trong Học Kỳ Thứ 1 năm Nhất, ngành Kỹ thuật Hóa học không học môn nào khác ngoài chương trình bồi dưỡng tiếng Anh."
"Ngành Kỹ thuật Hóa học học những môn gì trong Học Kỳ Thứ 2 năm Nhất?","Trong Học Kỳ Thứ 2 năm Nhất, ngành Kỹ thuật Hóa học học Giới thiệu nghề nghiệp ngành Kỹ thuật Hóa học, Hóa học 1, Phép tính 1, Nguyên lý cơ bản của CN Mác-Lênin 1, Đường lối cách mạng của Đảng Cộng sản Việt Nam, Tiếng Anh 1.","Trong Học Kỳ Thứ 2 năm Nhất, ngành Kỹ thuật Hóa học học các môn về hóa học, phép tính, và chính trị."
